order_id,user_id,order_ts,status,pay_amount,pay_channel,dt
O0054,U0014,2026-07-11 22:53:29,shipped,197.00,wechat,2026-07-11
O0055,U0014,2026-07-17 12:20:54,shipped,299.00,alipay,2026-07-17
O0056,U0014,2026-07-22 17:39:42,shipped,258.00,alipay,2026-07-22
O0057,U0014,2026-07-27 11:22:51,completed,68.00,alipay,2026-07-27
O0058,U0015,2026-07-03 11:46:26,completed,378.00,card,2026-07-03
O0059,U0015,2026-07-18 15:50:01,completed,378.00,alipay,2026-07-18
O0060,U0016,2026-07-19 13:30:35,shipped,39.00,card,2026-07-19
O0061,U0016,2026-08-03 12:19:16,paid,189.00,card,2026-08-03
O0062,U0017,2026-07-07 11:47:30,paid,99.00,alipay,2026-07-07
O0063,U0017,2026-07-19 11:23:11,shipped,159.00,alipay,2026-07-19
O0064,U0018,2026-07-18 12:44:08,shipped,498.00,wechat,2026-07-18
O0065,U0018,2026-08-02 13:11:03,paid,199.00,wechat,2026-08-02
O0066,U0019,2026-07-03 17:40:43,paid,79.00,alipay,2026-07-03
O0067,U0019,2026-07-12 16:48:26,shipped,576.00,wechat,2026-07-12
O0068,U0019,2026-07-29 14:19:36,shipped,398.00,card,2026-07-29
O0069,U0020,2026-07-06 11:11:35,shipped,258.00,card,2026-07-06
O0070,U0020,2026-07-23 15:18:02,paid,136.00,card,2026-07-23
O0071,U0021,2026-07-09 20:50:40,completed,228.00,alipay,2026-07-09
O0072,U0021,2026-07-21 21:09:04,shipped,68.00,alipay,2026-07-21
O0073,U0022,2026-07-10 19:25:17,paid,398.00,card,2026-07-10
O0074,U0022,2026-07-18 22:27:47,paid,68.00,alipay,2026-07-18
O0075,U0022,2026-08-05 21:55:36,shipped,197.00,card,2026-08-05
O0076,U0023,2026-07-09 10:37:27,shipped,697.00,wechat,2026-07-09
O0077,U0023,2026-07-22 18:06:54,shipped,78.00,card,2026-07-22
O0078,U0023,2026-08-05 21:48:35,shipped,299.00,wechat,2026-08-05
O0079,U0024,2026-07-13 21:32:52,completed,397.00,wechat,2026-07-13
O0080,U0024,2026-07-31 15:48:03,shipped,159.00,wechat,2026-07-31
O0081,U0025,2026-07-04 08:40:38,paid,215.00,alipay,2026-07-04
O0082,U0025,2026-07-13 15:07:41,shipped,335.00,wechat,2026-07-13
O0083,U0025,2026-07-24 15:35:09,paid,99.00,wechat,2026-07-24
O0084,U0026,2026-07-11 22:50:32,completed,129.00,wechat,2026-07-11
O0085,U0026,2026-07-28 17:42:31,shipped,557.00,card,2026-07-28
O0086,U0026,2026-08-13 14:29:59,completed,189.00,wechat,2026-08-13
O0087,U0027,2026-07-14 08:20:47,completed,78.00,card,2026-07-14
O0088,U0027,2026-07-24 15:02:08,paid,99.00,wechat,2026-07-24
O0089,U0028,2026-07-17 22:29:00,shipped,197.00,wechat,2026-07-17
O0090,U0028,2026-08-03 19:25:41,shipped,90.00,card,2026-08-03
O0091,U0029,2026-07-18 08:39:04,completed,68.00,alipay,2026-07-18
O0092,U0029,2026-08-01 09:48:40,paid,498.00,alipay,2026-08-01
O0093,U0029,2026-08-14 20:03:18,paid,39.00,card,2026-08-14
O0094,U0030,2026-07-19 18:50:11,completed,598.00,card,2026-07-19
O0095,U0030,2026-07-30 15:58:37,shipped,199.00,wechat,2026-07-30
O0096,U0031,2026-07-01 22:51:29,completed,696.00,wechat,2026-07-01
O0097,U0032,2026-07-17 15:54:19,paid,78.00,alipay,2026-07-17
O0098,U0033,2026-07-25 17:22:36,completed,68.00,wechat,2026-07-25
O0099,U0034,2026-07-18 08:36:55,completed,328.00,wechat,2026-07-18
O0100,U0035,2026-07-15 18:12:39,completed,79.00,card,2026-07-15
O0101,U0036,2026-07-03 12:50:28,paid,45.00,wechat,2026-07-03
O0102,U0037,2026-07-21 19:26:11,completed,159.00,card,2026-07-21
O0103,U0038,2026-07-18 21:10:16,paid,380.00,alipay,2026-07-18
O0104,U0039,2026-07-26 21:51:35,shipped,39.00,card,2026-07-26
O0105,U0040,2026-07-08 15:23:43,completed,107.00,alipay,2026-07-08
O0106,U0041,2026-07-31 08:39:56,paid,877.00,alipay,2026-07-31
O0107,U0042,2026-07-03 08:19:31,shipped,189.00,wechat,2026-07-03
O0108,U0043,2026-07-24 18:47:44,shipped,395.00,alipay,2026-07-24
O0109,U0044,2026-07-24 11:28:28,shipped,542.00,alipay,2026-07-24
O0110,U0045,2026-07-08 21:52:29,paid,189.00,wechat,2026-07-08
O0111,U0046,2026-07-16 10:50:36,completed,159.00,alipay,2026-07-16
O0112,U0047,2026-07-15 13:49:09,paid,228.00,card,2026-07-15
O0113,U0048,2026-07-17 20:11:07,paid,208.00,card,2026-07-17
O0114,U0021,2026-07-31 15:49:23,unpaid,0.00,,2026-07-31
O0115,U0002,2026-08-09 08:46:50,cancelled,0.00,wechat,2026-08-09
O0116,U0012,2026-07-07 15:45:58,unpaid,0.00,,2026-07-07
O0117,U0017,2026-07-05 10:17:39,cancelled,0.00,card,2026-07-05
O0118,U0004,2026-08-08 14:06:50,unpaid,0.00,,2026-08-08
O0119,U0009,2026-07-27 13:52:29,cancelled,0.00,wechat,2026-07-27
O0120,U0027,2026-07-17 13:09:43,cancelled,0.00,alipay,2026-07-17
O0121,U0034,2026-08-05 08:37:35,unpaid,0.00,,2026-08-05
O0122,U0008,2026-07-19 17:19:22,unpaid,0.00,,2026-07-19
O0123,U0005,2026-07-31 11:54:06,unpaid,0.00,,2026-07-31
